Barcode,Itemno,Description,Category,Product Group,R.Price
0084253333108,194066,DREAM RICE ORGANIC 1L,DAIRY SS,UHT MILK, 13.57 
0084253333122,194064,DREAM RICE CALCIUM & VITAMIN1L,DAIRY SS,UHT MILK, 13.57 
021000018512,160669,KRAFT DELI FRESH SWISS AGED 22,DAIRY SS,DAIRY CHEESE, 20.45 
021000018550,160670,KRAFT DELI FRESH MOZZA 227GM,DAIRY SS,DAIRY CHEESE, 20.45 
021000018567,160671,KRAFT DELI FR.CHED MILD 227GM,DAIRY SS,DAIRY CHEESE, 20.45 
021000018574,160672,KRAFT DELI FR.SWISS THIN 227GM,DAIRY SS,DAIRY CHEESE, 20.45 
021000023837,115447,KRAFT GRATED PARMESAN 85G,DAIRY SS,DAIRY CHEESE, 11.27 
021000023899,160673,PHILLY SOFT TOM&BASL 226GM,DAIRY SS,DAIRY CHEESE, 13.88 
021200010224,123699,Scotch Magic Tape w/ds 1/2x450,STATIONARY,SCHOOL MATERIAL, 4.00 
021200010231,123700,Scotch Magic Tape w/ds 3/4x300,STATIONARY,SCHOOL MATERIAL, 4.00 
021200010309,123705,"Scotch transtape w/ds1/2""x450""",STATIONARY,SCHOOL MATERIAL, 3.48 
021200010323,123704,Scotch D/sided Tap w/d 1/2x250,STATIONARY,SCHOOL MATERIAL, 5.57 
021200010538,123701,"Scotch Mount Roll HD 1/2""x75""",STATIONARY,SCHOOL MATERIAL, 9.57 
